subject,predicate,object
Socrates,was a teacher of,?
?,wrote,Critique of Pure Reason
?,formulated,the laws of motion
Marie Curie,?,polonium
Charles Darwin,proposed,the theory of evolution
Dmitri Mendeleev,created,?
Euclid,wrote,?
?,developed,the Turing machine
?,is considered,the first computer programmer
William Shakespeare,wrote,?
Homer,?,The Iliad
?,created,Middle-earth
Ludwig van Beethoven,composed,?
Leonardo da Vinci,?,the Mona Lisa
?,painted,Starry Night
George Washington,?,the United States
?,crossed,the Rubicon
?,led,the anti-apartheid movement
?,observed,the moons of Jupiter
Edwin Hubble,?,the expansion of the universe
Yuri Gagarin,was,?
